frequency_ghz,transfer_real,transfer_imaginary,transfer_magnitude_db
1.193237304726812376e+01,1.109519477234764073e+00,4.556937502634606299e-03,9.027718688354768872e-01
1.203613281289654147e+01,1.112054950243356322e+00,2.103302387995110902e-03,9.225404893454330901e-01
1.213989257852495918e+01,1.113650658188015674e+00,1.758587028769554271e-03,9.349903911778111310e-01
1.224365234415337689e+01,1.114828214123840366e+00,2.467240109061413431e-03,9.441802976136470793e-01
1.234741210978179815e+01,1.119600287107859415e+00,4.376965109230399054e-03,9.813263977576667241e-01
1.245117187541021586e+01,1.122833375724618277e+00,2.435025136045179846e-03,1.006326692188702410e+00
1.255493164103863357e+01,1.118457126494811105e+00,1.966469857706546615e-03,9.724002464108985055e-01
1.265869140666705128e+01,1.120119667181782130e+00,1.032927929654282049e-03,9.852921469055770931e-01
1.276245117229547077e+01,1.125531445445561163e+00,3.023401038016367177e-03,1.027183996305052638e+00
1.286621093792388848e+01,1.128905922079987523e+00,4.128097536927992361e-03,1.053213097721553249e+00
1.296997070355230797e+01,1.133716554246881447e+00,5.752616152833724301e-03,1.090201577978347158e+00
1.307373046918072568e+01,1.135994071056091181e+00,3.579402123603143970e-03,1.107564411746533972e+00
1.317749023480914516e+01,1.135486373121311177e+00,1.816052310714916544e-03,1.103649642134563402e+00
1.328125000043756287e+01,1.136316554277806201e+00,2.153778224901680902e-03,1.110002275951366579e+00
1.338500976606598059e+01,1.138374658350293167e+00,2.446220984255317258e-03,1.125724439013150668e+00
1.348876953169440007e+01,1.140385378229337388e+00,-8.078970641875444060e-04,1.141034984575851396e+00
1.359252929732281956e+01,1.142310589753220196e+00,-2.997644248168355920e-03,1.155713965642531704e+00
1.369628906295123727e+01,1.148724117763572528e+00,2.378258893161784722e-04,1.204314971941645718e+00
1.380004882857965498e+01,1.150297023369141192e+00,5.359137453206732488e-03,1.216294184091621933e+00
1.390380859420807447e+01,1.148822181167802325e+00,1.133662195629473683e-03,1.205060473620527706e+00
1.400756835983649218e+01,1.153758707326143718e+00,4.375729452100669045e-04,1.242300457328674668e+00
1.411132812546490989e+01,1.158503700497360178e+00,-1.169694389016838693e-03,1.277952934319226408e+00
1.421508789109332760e+01,1.160793058016668544e+00,1.772239999492043489e-03,1.295106167064015601e+00
1.431884765672174886e+01,1.158132795586592989e+00,1.863498613814656328e-03,1.275178443752331470e+00
1.442260742235016657e+01,1.158307135397572241e+00,2.532912857428520990e-03,1.276495400932705415e+00
1.452636718797858428e+01,1.158761706888288945e+00,-1.377090187777447322e-04,1.279882757765192558e+00
1.463012695360700199e+01,1.166347369206862217e+00,-1.422537151082228085e-03,1.336564742597069255e+00
1.473388671923542148e+01,1.169785800142373766e+00,1.190306055842186910e-03,1.362131401096147387e+00
1.483764648486384097e+01,1.164463395786356825e+00,3.978099434165415123e-03,1.322567511158348141e+00
1.494140625049225868e+01,1.167506931226902189e+00,-2.700123432270926105e-03,1.345212580145596082e+00
1.504516601612067639e+01,1.174352391926997807e+00,1.317112564688690613e-03,1.395974196912652898e+00
1.514892578174909588e+01,1.172098235054676252e+00,2.870183708760798424e-03,1.379306281690084512e+00
1.525268554737751359e+01,1.178889081900340807e+00,-1.199930900717463951e-04,1.429458956315392770e+00
1.535644531300593130e+01,1.178280466832504203e+00,1.605457326489333853e-03,1.424981625606181801e+00
1.546020507863434901e+01,1.184085858290690352e+00,1.240764985840649886e-03,1.467668654746285606e+00
1.556396484426277027e+01,1.184903944938862530e+00,-2.277889528407720584e-04,1.473663068288963984e+00
1.566772460989118798e+01,1.190008075155071232e+00,4.632347247154695348e-03,1.511063977464087937e+00
1.577148437551960569e+01,1.193986377962122036e+00,4.542120733812222109e-03,1.540050289431037500e+00
1.587524414114802340e+01,1.193594666944769678e+00,6.241253319093010470e-04,1.537138581010005778e+00
1.597900390677644289e+01,1.197910916795742908e+00,-1.739246300306729201e-03,1.568499609817697760e+00
1.608276367240486238e+01,1.201131837390596813e+00,-3.796695797288818567e-05,1.591813576358718230e+00
1.618652343803328009e+01,1.203871268256381910e+00,-1.358032154481743272e-03,1.611606519427379647e+00
1.629028320366169780e+01,1.201554788253789585e+00,-1.310540847767076387e-03,1.594876735797534195e+00
1.639404296929011551e+01,1.204756111012609487e+00,-9.042041126723208326e-04,1.617985204290427470e+00
1.649780273491853677e+01,1.210763051263052059e+00,-1.901087309404302398e-03,1.661193890339258905e+00
1.660156250054695448e+01,1.210591877143907480e+00,-3.231687395626887602e-03,1.659986059903796329e+00
1.670532226617537219e+01,1.214797385816007713e+00,-4.105082249823146893e-03,1.690126566051268986e+00
1.680908203180378990e+01,1.215975952520723435e+00,3.991620303447815897e-03,1.698546524198589536e+00
1.691284179743220761e+01,1.217293136198562609e+00,5.145414117050685181e-03,1.707981058884067149e+00
1.701660156306062532e+01,1.216640621881690087e+00,2.045328752120781574e-04,1.703246379490448881e+00
1.712036132868904659e+01,1.220488825497590302e+00,-6.017058716834686920e-04,1.730677205075242586e+00
1.722412109431746430e+01,1.220736540977832352e+00,-5.188042301431833835e-03,1.732517335930305435e+00
1.732788085994588556e+01,1.224094317663859677e+00,-1.395552614100060073e-03,1.756303283039363450e+00
1.743164062557430327e+01,1.226614417296940651e+00,6.825238042771054892e-03,1.774295760472233141e+00
1.753540039120272098e+01,1.235327369569381384e+00,1.529519700367491797e-02,1.836307001022241758e+00
1.763916015683113869e+01,1.235340326779822417e+00,2.063216361372711364e-03,1.835744491871944106e+00
1.774291992245955640e+01,1.235722461313208065e+00,-8.950405649346503470e-03,1.838646648382315840e+00
1.784667968808797411e+01,1.237485833869975016e+00,-6.002794153087364498e-03,1.850906910231568503e+00
1.795043945371639182e+01,1.242253375064551690e+00,-7.635426276574515956e-04,1.884205347686379373e+00
1.805419921934480953e+01,1.244182949202154553e+00,4.824721523507606753e-03,1.897750212521414293e+00
1.815795898497323080e+01,1.242576615589592537e+00,3.359997840938150696e-03,1.886495279963470439e+00
1.826171875060164851e+01,1.247152346113088450e+00,-9.399974810493031806e-04,1.918392627916834403e+00
1.836547851623006977e+01,1.253729208670679274e+00,-3.629393130982207574e-03,1.964111273653540435e+00
1.846923828185848748e+01,1.255221547675807292e+00,-2.250006697570809417e-03,1.974421672971838237e+00
1.857299804748690519e+01,1.253429607634973353e+00,-8.207688775799023423e-03,1.962185197638520506e+00
1.867675781311532290e+01,1.257174765811964079e+00,-1.992025055474820616e-03,1.987924008171549906e+00
1.878051757874374061e+01,1.258627372750282580e+00,-2.878726821148235634e-03,1.997966170882077730e+00
1.888427734437215832e+01,1.265808233234892555e+00,-3.025765216679900289e-03,2.047383138044658768e+00
1.898803711000057959e+01,1.268245111747858367e+00,-8.050104029425115756e-03,2.064238914901707744e+00
1.909179687562899730e+01,1.265214800829588038e+00,-4.863253169159824710e-03,2.043349441587930748e+00
1.919555664125741501e+01,1.267123205504505190e+00,2.014678423372355618e-03,2.056387868001698038e+00
1.929931640688583272e+01,1.272283096314895001e+00,4.472329742256095711e-03,2.091728806563979415e+00
1.940307617251425043e+01,1.272136244498686564e+00,1.699508615277871369e-03,2.090680277118374342e+00
1.950683593814266814e+01,1.280916015630468641e+00,-1.936636280149377698e-03,2.150423043146212798e+00
1.961059570377108940e+01,1.281211652164731873e+00,-2.751968738713057774e-03,2.152437632083119556e+00
1.971435546939950711e+01,1.277602562446687129e+00,-1.242912578149882449e-03,2.127919593939571197e+00
1.981811523502792838e+01,1.279545813084680184e+00,-1.855075441904470131e-03,2.141125929574964282e+00
1.992187500065634609e+01,1.285711634605698039e+00,-7.154084343599020554e-03,2.183005940095918085e+00
2.002563476628476380e+01,1.290622121658530297e+00,-6.668018513034106899e-03,2.216098019651709716e+00
2.012939453191318151e+01,1.292724984153925449e+00,-7.763602100748185492e-03,2.230279483367846094e+00
2.023315429754159922e+01,1.295018996383918486e+00,-1.267265019244721326e-02,2.245938639948023674e+00
2.033691406317001693e+01,1.296202185167978582e+00,-3.392219111066940938e-03,2.253484729624563698e+00
2.044067382879843464e+01,1.305981966316908105e+00,-3.477256749574022393e-03,2.318774388327223601e+00
2.054443359442685590e+01,1.307741551418360348e+00,4.095500453257369319e-03,2.330481053908841194e+00
2.064819336005527362e+01,1.304513459083849414e+00,6.352767523353989969e-03,2.309074277356302662e+00
2.075195312568369133e+01,1.310122803699936389e+00,1.833400219659153934e-03,2.346248623760150753e+00
2.085571289131211259e+01,1.313787406765669630e+00,-7.476766019578201181e-03,2.370642547769716835e+00
2.095947265694053030e+01,1.312809860951529517e+00,1.162338906651530068e-03,2.364040008194633113e+00
2.106323242256894801e+01,1.310586862062904423e+00,9.948843030412220234e-04,2.349318704045432415e+00
2.116699218819736572e+01,1.314003131181258999e+00,-1.581668227907050920e-04,2.371928065316731171e+00
2.127075195382578343e+01,1.319538912316691182e+00,-4.036946853811783885e-03,2.408484684397840248e+00
2.137451171945420469e+01,1.324298390070552056e+00,-1.274476009382834174e-02,2.440119234463835163e+00
2.147827148508262241e+01,1.327967355691515028e+00,-8.031356388582119518e-03,2.463906832447047890e+00
2.158203125071104012e+01,1.326643512143546921e+00,-1.004875427682480615e-02,2.455333915007610557e+00
2.168579101633945783e+01,1.329659558485258630e+00,-6.564840308251523870e-03,2.474915061872747568e+00
2.178955078196787554e+01,1.336179986788709417e+00,-8.175929530731684478e-03,2.517461852672267852e+00
2.189331054759629325e+01,1.341859212340326790e+00,-4.351788554967710339e-03,2.554184719919215141e+00
2.199707031322471096e+01,1.337514419363816431e+00,-4.755591773525486704e-03,2.526024357190728598e+00
2.210083007885312867e+01,1.338664410699288210e+00,-1.204143572779515711e-02,2.533785732847410710e+00
2.220458984448155348e+01,1.336226801060524716e+00,-8.686904860780364154e-03,2.517787111319566229e+00
2.230834961010997120e+01,1.349402066832570801e+00,-1.272553105225433974e-02,2.603213639676095870e+00
2.241210937573838891e+01,1.351444584539590155e+00,-9.315937453901561999e-03,2.616171208896646228e+00
2.251586914136680662e+01,1.349185803280697371e+00,-3.591277793979977609e-03,2.601466024809859334e+00
2.261962890699522433e+01,1.346195863278115468e+00,-9.579899340841651787e-04,2.582167232933019640e+00
2.272338867262364204e+01,1.362571260544386709e+00,-9.426594183461412674e-03,2.687392347770376499e+00
2.282714843825205975e+01,1.360972862406243156e+00,-9.527699836030386130e-03,2.677202149297261524e+00
2.293090820388047746e+01,1.365610316267894975e+00,-7.995727827592573680e-03,2.706684659444279717e+00
2.303466796950889872e+01,1.360154245788470551e+00,-7.247066516619864000e-03,2.671886520150007271e+00
2.313842773513731643e+01,1.354833999044559700e+00,-1.439140723304212569e-02,2.638211729125179428e+00
2.324218750076573414e+01,1.371699287451918492e+00,-1.282049924253462342e-02,2.745557625845908234e+00
2.334594726639415185e+01,1.371998750192468863e+00,-1.402293471993300289e-02,2.747527976701357844e+00
2.344970703202257312e+01,1.373396604095919127e+00,-1.841131395329616283e-02,2.756699794351704647e+00
2.355346679765099083e+01,1.373424875688231017e+00,-1.673419261438918032e-02,2.756742874056909542e+00
2.365722656327940854e+01,1.376430039560506469e+00,-8.881849451607644330e-03,2.775263675500468707e+00
2.376098632890782980e+01,1.384385609140868834e+00,-9.489639569340469968e-03,2.825345582726122462e+00
2.386474609453624751e+01,1.391823822360583218e+00,-1.516156675367629457e-02,2.872200632941129150e+00
2.396850586016466522e+01,1.387509749304704387e+00,-5.263912878928201852e-03,2.844783373996049747e+00
2.407226562579308293e+01,1.380431424627720949e+00,2.333170685163900304e-03,2.800309149730142000e+00
2.417602539142150064e+01,1.381018043328907430e+00,-2.256014645407154891e-04,2.803987171422387625e+00
2.427978515704991835e+01,1.398918713368119571e+00,-8.034749349446104749e-03,2.915992859535787129e+00
2.438354492267833606e+01,1.400010221733544169e+00,-1.086020527024176251e-02,2.922885458454074659e+00
2.448730468830675377e+01,1.400060328530627674e+00,-1.608027475603419909e-02,2.923507856976761854e+00
2.459106445393517859e+01,1.410451066973218648e+00,-1.300751332254256216e-02,2.987529824172922677e+00
2.469482421956359630e+01,1.408707944315732208e+00,-1.610500397248263924e-02,2.976986866911378371e+00
2.479858398519201401e+01,1.408124432899555245e+00,-2.209412322850535723e-02,2.973889743871843905e+00
2.490234375082043172e+01,1.413736408776166131e+00,-1.671406607613299886e-02,3.007975845297013784e+00
2.500610351644884943e+01,1.415828454678878190e+00,-1.237414305827428188e-02,3.020544450551423399e+00
2.510986328207726714e+01,1.416236585848354768e+00,-7.123122729838347704e-03,3.022826049918400315e+00
2.521362304770568485e+01,1.422331194716861535e+00,-1.213766792582508282e-02,3.060330957798653273e+00
2.531738281333410256e+01,1.429539246409322839e+00,-1.754440279212820045e-02,3.104575747248279338e+00
2.542114257896252383e+01,1.424950371355155232e+00,-1.550246089023066438e-02,3.076508773917424833e+00
2.552490234459094154e+01,1.429711348269038229e+00,-1.081215061422624406e-02,3.105215657767295134e+00
2.562866211021935925e+01,1.433858849674630509e+00,-9.895858316693945805e-03,3.130334878099742646e+00
2.573242187584777696e+01,1.434829430184088706e+00,-1.533256611154690426e-02,3.136501414369920582e+00
2.583618164147619467e+01,1.439098427954845771e+00,-1.581504555889274091e-02,3.162334442187116235e+00
2.593994140710461593e+01,1.446507299776387256e+00,-9.246265065183618959e-03,3.206590039259672231e+00
2.604370117273303364e+01,1.444605230736569990e+00,-1.000717243925021774e-02,3.195192061349741319e+00
2.614746093836145135e+01,1.442926193531623991e+00,-1.153815031441527729e-02,3.185160031579230999e+00
2.625122070398987262e+01,1.448339189412911399e+00,-1.208040386679880458e-02,3.217707769485493863e+00
2.635498046961829033e+01,1.446453446133222576e+00,-6.762398692666957839e-03,3.206184133406271286e+00
2.645874023524670804e+01,1.443999815771544348e+00,-2.327747512303461955e-02,3.192471162430318365e+00
2.656250000087512575e+01,1.455153565304488472e+00,-3.422234973666359731e-02,3.260577963877346441e+00
2.666625976650354346e+01,1.461339455788208008e+00,-1.927859615772751015e-02,3.295777985282740019e+00
2.677001953213196117e+01,1.467776883477905692e+00,-2.529305736487940520e-02,3.334490315061844790e+00
2.687377929776037888e+01,1.478150901203083345e+00,-3.366324712687469856e-02,3.396627334821978206e+00
2.697753906338880014e+01,1.478512364901068077e+00,-2.560173221554189887e-02,3.397801209264274647e+00
2.708129882901721786e+01,1.474198090131750627e+00,-1.870792647248550183e-02,3.371816225406660372e+00
2.718505859464563912e+01,1.473289255708293499e+00,-8.669028679936919765e-03,3.365910796685775530e+00
2.728881836027405683e+01,1.465901003299721950e+00,-1.096050980813604268e-02,3.322335628100570037e+00
2.739257812590247454e+01,1.477195775352020402e+00,-9.309849702178973202e-03,3.388933637082595318e+00
2.749633789153089225e+01,1.503095568307470709e+00,-2.077377594977433684e-02,3.540561356493200584e+00
2.760009765715930996e+01,1.501946896579293478e+00,-2.386975792445152414e-02,3.534188329063531420e+00
2.770385742278772767e+01,1.498090879019155608e+00,-3.120800369259442431e-02,3.512647478658697420e+00
2.780761718841614893e+01,1.492279596420443610e+00,-3.041040110312382555e-02,3.478807196151751935e+00
2.791137695404456665e+01,1.492547354058331388e+00,-2.414086489226524926e-02,3.479698373986578552e+00
2.801513671967298436e+01,1.496721542211807199e+00,-3.429573993350089334e-02,3.505099842045549252e+00
2.811889648530140207e+01,1.516422259660340055e+00,-2.535123203135168993e-02,3.617616633246408142e+00
2.822265625092981978e+01,1.517143046666550754e+00,-2.185608173128702689e-02,3.621431839633345362e+00
2.832641601655823749e+01,1.515028047120332566e+00,-1.706412170029159014e-02,3.608964370078326933e+00
2.843017578218665520e+01,1.512200596799800012e+00,-1.568085854980365984e-02,3.592655064775940321e+00
2.853393554781507646e+01,1.519282216075646286e+00,-1.974864385037676875e-02,3.633502830088632507e+00
2.863769531344349772e+01,1.525363914096392826e+00,-2.522995492604461834e-02,3.668657344198909875e+00
2.874145507907191543e+01,1.518688361031391487e+00,-1.574963372527424244e-02,3.629840343261913738e+00
2.884521484470033315e+01,1.513101829927222752e+00,-1.806992836695311966e-02,3.597982471113382097e+00
2.894897461032875086e+01,1.525983174546961862e+00,-1.815347186057944193e-02,3.671609475510852150e+00
2.905273437595716857e+01,1.518872906027807668e+00,-1.636769146296679009e-02,3.630933005256566926e+00
2.915649414158558628e+01,1.523874064424481700e+00,-1.706223799158728890e-02,3.659525968918191374e+00
2.926025390721400399e+01,1.537712563199090221e+00,-2.698230852399072927e-02,3.738840233123892798e+00
2.936401367284242170e+01,1.532475639244285537e+00,-4.587525316282867888e-02,3.711761680430772259e+00
2.946777343847084296e+01,1.533718213870260971e+00,-2.912897225086588313e-02,3.716477767257183373e+00
2.957153320409926067e+01,1.550394160344645833e+00,-1.885167664167574503e-02,3.809484526886610212e+00
